ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Meta: _product_sku","Meta: _product_year","Meta: _product_condition","Meta: _product_stock_status","Meta: _product_specs","Meta: _product_expert_id","Meta: _product_expert_review","Meta: _lightspeed_unit_id","Meta: _product_price","Meta: _product_msrp","Meta: _lightspeed_vin","Meta: _lightspeed_web_title","Meta: _lightspeed_color","Meta: _lightspeed_class","Meta: _lightspeed_unit_type","Meta: _lightspeed_raw_json","Meta: _lightspeed_last_sync","Meta: _lightspeed_unmapped_type","Meta: _product_monthly_payment"
207,simple,MK-TER80-26,,"Minnkota Terrova 80",1,0,visible,"A GPS-enabled trolling motor with spot-lock technology. Set your position and fish hands-free.","<p>The Minnkota Terrova 80 is the trolling motor serious anglers choose. With 80 lbs of thrust and built-in i-Pilot GPS, you get Spot-Lock anchor technology that holds your boat within 5 feet of a waypoint, even in wind and current.</p>\n<p>The brushless, variable-speed motor runs quieter and more efficiently than conventional trolling motors, and the integrated Bluetooth lets you control everything from your smartphone. AutoPilot maintains a heading so you can focus on fishing, not steering.</p>\n<p>Vertical jigging for walleye, working a weed edge for bass, the Terrova 80 makes you a more effective angler. Stop in to see it mounted on our demo boat.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,"Minn Kota",MK-TER80-26,2026,new,on_order,"Thrust|80 lbs
Shaft Length|60""
Voltage|24V
Control|i-Pilot GPS / Bluetooth
Spot-Lock|Yes
AutoPilot|Yes
Motor Type|Brushless",1,"Once you fish with Spot-Lock you'll never go back. The Terrova 80 is the most-requested trolling motor upgrade we do. Pairs perfectly with any of our Princecraft fishing boats."
214,simple,HS-STRK250R-26,,"Hisun Strike 250R — Youth Sport UTV",1,0,visible,"Youth/entry sport UTV. Two-seat, governed for teen riders, four factory colour options.","<p>The Hisun Strike 250R is the sport UTV we point families at when they want a two-seat trail machine sized for a teen rider and a passenger. Governed speed and manageable power make it a legitimate teaching machine — a step up from a single-rider ATV into proper side-by-side trail skills.</p>\n<p>Available in four factory finishes (Black Ops, Destroyer Grey, Tactical Tan, Voodoo Blue). Sport suspension, real ground clearance, and full Hisun dealer support through Reyco. Warranty service and parts handled right here in Sault Ste. Marie.</p>\n<p>Most common use case: Algoma families with teens starting on OFATV trails under adult supervision. Pre-order deposits accepted; ask us about current stock and ordering lead times.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_stike250blue-110557.png,,,,,,,,,0,Hisun,HS-STRK250R-26,2026,new,on_order,"Engine|249cc Single-Cylinder
Seating|2
Drive|2WD/4WD Select
Transmission|CVT with H/L/N/R/P
Colours|Black Ops, Destroyer Grey, Tactical Tan, Voodoo Blue
Warranty|Hisun Manufacturer",1,"The Strike 250R is the youth sport UTV I actually recommend. Governed power means kids learn right instead of getting over their head. Parents ride along and teach. Nothing else in this price band does it better."
