sku,year,make,model,class,code,condition,web_unit,status,retail_price,sale_price,ls_id
2025-MERCURY-ME-2.5MH-4S-TMC-4,2025,Mercury,ME 2.5MH 4S TMC,M,1F02201KK,N,0,,,,33914
2026-CUB-CADET-13A6A9TS596-13A6A9TS596,2026,Cub Cadet,13A6A9TS596,Tractor,XT1 LT42 42-in. 547cc Riding Lawn Mower,N,0,,,,57647
2025-MERCURY-ME-2.5MH-4S-TMC-8,2025,Mercury,ME 2.5MH 4S TMC,M,1F02201KK,N,0,,,,33926
2025-MERCURY-ME-6MH-20,2025,Mercury,ME 6MH,M,1FX6201KK,N,0,,,,33958
2025-MERCURY-ME-2.5MH-4S-TMC-2,2025,Mercury,ME 2.5MH 4S TMC,M,1F02201KK,N,0,,,,33908
2025-MERCURY-ME-2.5MH-4S-TMC-3,2025,Mercury,ME 2.5MH 4S TMC,M,1F02201KK,N,0,,,,33911
2026-TORO-75747-444,2026,Toro,75747,ZT,42 in. (107 cm) TimeCutter® MyRIDE® Zero Turn Mower,N,0,,,,56397
2025-MERCURY-ME-2.5MH-4S-TMC-10,2025,Mercury,ME 2.5MH 4S TMC,M,1F02201KK,N,0,,,,33932
2025-MERCURY-ME-5MH-24,2025,Mercury,ME 5MH,M,1FX5201KK,N,0,,,,33968
2025-MERCURY-ME-2.5MH-4S-TMC-5,2025,Mercury,ME 2.5MH 4S TMC,M,1F02201KK,N,0,,,,33917
2026-CUB-CADET-13A6A9TS596-13A6A9TS596,2026,Cub Cadet,13A6A9TS596,Tractor,XT1 LT42 42-in. 547cc Riding Lawn Mower,N,0,,,,57648
2023-PRINCECRAFT-SPORTFISHER-23-2RS-34499,2023,Princecraft,SPORTFISHER 23 2RS,B,,N,0,,,,34499
2025-MERCURY-ME-6MH-26,2025,Mercury,ME 6MH,M,1FX6201KK,N,0,,,,33974
2025-MERCURY-ME-6MH-28,2025,Mercury,ME 6MH,M,1FX6201KK,N,0,,,,33980
2025-MERCURY-ME-9.9MH-4S-30,2025,Mercury,ME 9.9MH 4S,M,1A10201LK,N,0,,,,33986
2026-TORO-75747-447,2026,Toro,75747,ZT,42 in. (107 cm) TimeCutter® MyRIDE® Zero Turn Mower,N,0,,,,56400
2025-MERCURY-ME-9.9MH-4S-32,2025,Mercury,ME 9.9MH 4S,M,1A10201LK,N,0,,,,33992
2026-MERCURY-ME-115XL-PXS4S-322,2026,Mercury,ME 115XL PXS4S,M,MERCURY 115 HP PRO XS XL,N,0,,,,54280
2023-MERCURY-ME-9.9ELH-4S-TMC-34,2023,Mercury,ME 9.9ELH 4S TMC,M,1A10211LK,N,0,,,,33996
2026-CUB-CADET-13A6A9TS596-13A6A9TS596,2026,Cub Cadet,13A6A9TS596,Tractor,XT1 LT42 42-in. 547cc Riding Lawn Mower,N,0,,,,57649
2023-MERCURY-90-EXLPT-CT-34490,2023,Mercury,90 EXLPT CT,M,,N,0,,,,34490
2026-TRAILER-100162-WHEEL-KIT-PAI-100162,2026,Trailer,100162 Wheel Kit Pair Lift Dock,O,100162 Wheel Kit Pair Lift Dock,N,0,O,,,56223
2023-PRINCECRAFT-SPORTFISHER-21-2RS-34487,2023,Princecraft,SPORTFISHER 21 2RS,B,,N,0,,,,34487
26-MERCURY-ME-90ELPT-4S-5995,26,Mercury,ME 90ELPT 4S,M,ME 90ELPT 4S,N,0,,,,55835
2026-CUB-CADET-13A6A9TS596-13A6A9TS596,2026,Cub Cadet,13A6A9TS596,Tractor,XT1 LT42 42-in. 547cc Riding Lawn Mower,N,0,,,,57650
2024-MERCURY-ME-50-ELPT-4S-EFI-42,2024,Mercury,ME 50 ELPT 4S EFI,M,1F51413GZ,N,0,,,,34014
2024-MERCURY-ME-50-ELPT-4S-EFI-44,2024,Mercury,ME 50 ELPT 4S EFI,M,1F51413GZ,N,0,,,,34020
2026-TORO-75747-448,2026,Toro,75747,ZT,42 in. (107 cm) TimeCutter® MyRIDE® Zero Turn Mower,N,0,,,,56401
2024-MERCURY-ME-60-ELPT-4S-EFI-45,2024,Mercury,ME 60 ELPT 4S EFI,M,1F60413GZ,N,0,,,,34023
2025-MERCURY-ME-2.5MH-4S-TMC-6,2025,Mercury,ME 2.5MH 4S TMC,M,1F02201KK,N,0,,,,33920
26-MERCURY-ME-90ELPT-4S-ME 90,26,Mercury,ME 90ELPT 4S,M,ME 90ELPT 4S,N,0,,,,57612
2024-MERCURY-ME-15-EH-4S-50,2024,Mercury,ME 15 EH 4S,M,1A15301LK,N,0,,,,34036
