sku,product_title,brand,image_url,image_alt,source_site,status,notes,image_count,image_categories,shortfall_vs_target,reyco_product_url
HS-STRK250R-26,Hisun Strike 250R — Youth Sport UTV,Hisun,https://www.hisunmotors.com/images/uploads/20231211/800_stike250blue-110557.png,Hisun Strike 250R Sport UTV in Voodoo Blue,hisunmotors.com,ready,800px PNG | Dropbox: 8 images,8,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-strike-250r-youth-sport-utv/
HS-STRK550R-26,Hisun Strike 550R — Adult Sport UTV,Hisun,https://www.hisunmotors.com/images/uploads/20231211/800_strike550blue-110937.png,Hisun Strike 550R Sport UTV in Voodoo Blue,hisunmotors.com,ready,800px PNG | Dropbox: 11 images,11,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-strike-550r-adult-sport-utv/
HS-SEC550EPS-26,Hisun Sector 550 EPS — Utility UTV,Hisun,https://www.hisunmotors.com/images/uploads/20231207/800_sector550red-102158.png,Hisun Sector 550 EPS Utility UTV in Hisun Red,hisunmotors.com,ready,800px PNG | Dropbox: 5 images,5,"spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-sector-550-eps-utility-utv/
HS-SEC750CREW-26,Hisun Sector 750 Crew — 4-Seat Utility UTV,Hisun,https://www.hisunmotors.com/images/uploads/20231207/800_sector750crewred-104342.png,Hisun Sector 750 Crew 4-Seat Utility UTV in Hisun Red,hisunmotors.com,ready,800px PNG | Dropbox: 8 images,8,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-sector-750-crew-4-seat-utility-utv/
HS-STRY750X-26,Hisun Stryker 750X — Sport-Trail UTV,Hisun,https://www.hisunmotors.com/images/uploads/20250506/800_stryker-red-750x-front-angle-w-vents-102322.png,Hisun Stryker 750X Sport-Trail UTV in Hisun Red,hisunmotors.com,ready,800px PNG | Dropbox: 20 images,20,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-stryker-750x-sport-trail-utv/
HS-MP9550R-26,Hisun MP9 550R — Sport Trail UTV,Hisun,https://www.hisunmotors.com/images/uploads/20240809/800_mp9-400-front-angle-red-no-winch-web-105838.png,Hisun MP9 Sport UTV in Hisun Red,hisunmotors.com,ready,800px PNG — using MP9 T400 image as closest match; confirm with Hisun dealer | Dropbox: 4 images,4,"spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-mp9-550r-sport-trail-utv/
HS-HS500-26,Hisun HS 500 — Utility ATV,Hisun,dropbox:/life-os/projects/reyco-marine/brand/HiSun Dropbox Stuff/Lineup/HS Series/HS 500/,,hisunmotors.com,ready,Dropbox: 2 images found. Needs 2 more to reach 4-image target.,2,"stock,spec-sheet",2,https://reyco.glvmarketing.ca/product/hisun-hs-500-utility-atv/
HS-FORGE400I-26,Hisun Forge 400i — Sport-Utility ATV,Hisun,dropbox:/life-os/projects/reyco-marine/brand/HiSun Dropbox Stuff/Lineup/ATV/Forge/,,hisunmotors.com,ready,Dropbox: 3 images found. Needs 1 more to reach 4-image target.,3,"stock,spec-sheet",1,https://reyco.glvmarketing.ca/product/hisun-forge-400i-sport-utility-atv/
HS-SEC-E1-26,Hisun Sector E1 — Electric UTV,Hisun,https://www.hisunmotors.com/images/uploads/20250414/800_e1-green-152808.png,Hisun Sector E1 Electric UTV in Avocado Green,hisunmotors.com,ready,800px PNG | Dropbox: 10 images,10,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-sector-e1-electric-utv/
HS-ACENV-26,Hisun ACE NV — Electric Golf Cart,Hisun,https://www.hisunmotors.com/images/uploads/20231211/800_aceblue-112942.png,Hisun ACE NV Electric Golf Cart in Coastal Blue,hisunmotors.com,ready,800px PNG | Dropbox: 13 images,13,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-ace-nv-electric-golf-cart/
HS-GUARDIAN-26,Hisun GUARDIAN Utility ATV,Hisun,https://www.hisunmotors.com/images/uploads/20250904/800_gray-guardian-400-105238.png,Hisun Guardian Utility ATV in Grey,hisunmotors.com,ready,800px PNG — Guardian 400 used as representative image | Dropbox: 152 images,152,"catalog,lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-guardian-utility-atv/
HS-TACTIC-26,Hisun Tactic Utility ATV,Hisun,https://www.hisunmotors.com/images/uploads/20231211/800_tactic400blue-113644.png,Hisun Tactic ATV in Blue,hisunmotors.com,ready,800px PNG — Tactic 400 used as representative image | Dropbox: 20 images,20,stock,0,https://reyco.glvmarketing.ca/product/hisun-tactic-utility-atv/
HS-HS400-26,Hisun HS 400 Entry ATV,Hisun,dropbox:/life-os/projects/reyco-marine/brand/HiSun Dropbox Stuff/Lineup/HS Series/HS400/,,hisunmotors.com,ready,Dropbox: 2 images found. Needs 2 more to reach 4-image target.,2,"stock,spec-sheet",2,https://reyco.glvmarketing.ca/product/hisun-hs-400-entry-atv/
HS-SEC250-26,Hisun Sector 250 Compact Utility UTV,Hisun,https://www.hisunmotors.com/images/uploads/20231207/800_sector250-085013.png,Hisun Sector 250 Compact Utility UTV,hisunmotors.com,ready,800px PNG | Dropbox: 14 images,14,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-sector-250-compact-utility-utv/
HS-SEC750EPS-26,Hisun Sector 750 EPS,Hisun,https://www.hisunmotors.com/images/uploads/20250415/800_sector-750-hisun-red-110632.png,Hisun Sector 750 EPS Utility UTV in Hisun Red,hisunmotors.com,ready,800px PNG | Dropbox: 5 images,5,"spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-sector-750-eps/
HS-STRY550-26,Hisun Stryker 550X Sport-Trail UTV,Hisun,https://www.hisunmotors.com/images/uploads/20250506/800_stryker-550x-front-angle-nardo-grey-w-vents-102239.png,Hisun Stryker 550X Sport-Trail UTV in Nardo Grey,hisunmotors.com,ready,800px PNG | Dropbox: 6 images,6,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-stryker-550x-sport-trail-utv/
HS-STRY750CREW-26,Hisun Stryker 750 Crew (4-Seat Sport),Hisun,https://www.hisunmotors.com/images/uploads/20250129/800_750xc-gray-crew-front-angle-165515.png,Hisun Stryker 750 Crew 4-Seat Sport UTV in Nardo Grey,hisunmotors.com,ready,800px PNG | Dropbox: 7 images,7,"lifestyle,spec-sheet,stock",0,https://reyco.glvmarketing.ca/product/hisun-stryker-750-crew-4-seat-sport/
