canonical_sku,sku,ls_id,make,model,tag_main_category,tag_subcategory,tag_brand,tag_product_name,flags
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-4,33914,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
CC-13A6A9TS596-LS,2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57647,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-8,33926,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-6HP-ME6MH-LS,2025-MERCURY-ME-6MH-20,33958,Mercury,ME 6MH,Marine,Outboards,Mercury,ME 6MH,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-2,33908,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-3,33911,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
TORO-75747-LS,2026-TORO-75747-444,56397,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-10,33932,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-5HP-ME5MH-LS,2025-MERCURY-ME-5MH-24,33968,Mercury,ME 5MH,Marine,Outboards,Mercury,ME 5MH,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-5,33917,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
CC-13A6A9TS596-LS,2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57648,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,DUPLICATE SKU (first ls_id: 57647)
PC-SPORTFISHER-23-2RS-LS,2023-PRINCECRAFT-SPORTFISHER-23-2RS-34499,34499,Princecraft,SPORTFISHER 23 2RS,Marine,Fishing Boats,Princecraft,Sportfisher 23,
MERC-6HP-ME6MH-LS,2025-MERCURY-ME-6MH-26,33974,Mercury,ME 6MH,Marine,Outboards,Mercury,ME 6MH,
MERC-6HP-ME6MH-LS,2025-MERCURY-ME-6MH-28,33980,Mercury,ME 6MH,Marine,Outboards,Mercury,ME 6MH,
MERC-99HP-ME99MH4S-LS,2025-MERCURY-ME-9.9MH-4S-30,33986,Mercury,ME 9.9MH 4S,Marine,Outboards,Mercury,ME 9.9MH 4S,
TORO-75747-LS,2026-TORO-75747-447,56400,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,
MERC-99HP-ME99MH4S-LS,2025-MERCURY-ME-9.9MH-4S-32,33992,Mercury,ME 9.9MH 4S,Marine,Outboards,Mercury,ME 9.9MH 4S,
MERC-115HP-ME115XLPXS-LS,2026-MERCURY-ME-115XL-PXS4S-322,54280,Mercury,ME 115XL PXS4S,Marine,Outboards,Mercury,115 HP PRO XS XL,
MERC-99HP-ME99ELH4ST-LS,2023-MERCURY-ME-9.9ELH-4S-TMC-34,33996,Mercury,ME 9.9ELH 4S TMC,Marine,Outboards,Mercury,ME 9.9ELH 4S TMC,
CC-13A6A9TS596-LS,2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57649,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,DUPLICATE SKU (first ls_id: 57647)
MERC-90HP-90EXLPTCT-LS,2023-MERCURY-90-EXLPT-CT-34490,34490,Mercury,90 EXLPT CT,Marine,Outboards,Mercury,90 EXLPT CT,
TRAI-100162-Wheel-Ki-LS,2026-TRAILER-100162-WHEEL-KIT-PAI-100162,56223,Trailer,100162 Wheel Kit Pair Lift Dock,Marine,Dock Accessories,Trailer,100162 Wheel Kit Pair Lift Dock,"BRAND: ""Trailer"" is not a brand name — confirm correct brand (Easy Hauler? OEM?)"
PC-SPORTFISHER-21-2RS-LS,2023-PRINCECRAFT-SPORTFISHER-21-2RS-34487,34487,Princecraft,SPORTFISHER 21 2RS,Marine,Fishing Boats,Princecraft,Sportfisher 21,
MERC-90HP-ME90ELPT4S-LS,26-MERCURY-ME-90ELPT-4S-5995,55835,Mercury,ME 90ELPT 4S,Marine,Outboards,Mercury,ME 90ELPT 4S,
CC-13A6A9TS596-LS,2026-CUB-CADET-13A6A9TS596-13A6A9TS596,57650,Cub Cadet,13A6A9TS596,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT1 LT42,DUPLICATE SKU (first ls_id: 57647)
MERC-50HP-ME50ELPT4S-LS,2024-MERCURY-ME-50-ELPT-4S-EFI-42,34014,Mercury,ME 50 ELPT 4S EFI,Marine,Outboards,Mercury,ME 50 ELPT 4S EFI,
MERC-50HP-ME50ELPT4S-LS,2024-MERCURY-ME-50-ELPT-4S-EFI-44,34020,Mercury,ME 50 ELPT 4S EFI,Marine,Outboards,Mercury,ME 50 ELPT 4S EFI,
TORO-75747-LS,2026-TORO-75747-448,56401,Toro,75747,Power Equipment,Zero Turn Mowers,Toro,TimeCutter® MyRIDE 75747,
MERC-60HP-ME60ELPT4S-LS,2024-MERCURY-ME-60-ELPT-4S-EFI-45,34023,Mercury,ME 60 ELPT 4S EFI,Marine,Outboards,Mercury,ME 60 ELPT 4S EFI,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-6,33920,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-90HP-ME90ELPT4S-LS,26-MERCURY-ME-90ELPT-4S-ME 90,57612,Mercury,ME 90ELPT 4S,Marine,Outboards,Mercury,ME 90ELPT 4S,
MERC-15HP-ME15EH4S-LS,2024-MERCURY-ME-15-EH-4S-50,34036,Mercury,ME 15 EH 4S,Marine,Outboards,Mercury,ME 15 EH 4S,
MERC-15HP-ME15ELPHPT-LS,2023-MERCURY-ME-15-ELPHPT-PK-4S-55,34047,Mercury,ME 15 ELPHPT PK 4S,Marine,Outboards,Mercury,ME 15 ELPHPT PK 4S,
MERC-UNKHP-ME5MXLHALP-LS,2022-MERCURY-ME-5-MXLHA-LPG-4S-SA-83,34060,Mercury,ME 5 MXLHA LPG 4S SAILPOWER,Marine,Outboards,Mercury,ME 5 MXLHA LPG 4S SAILPOWER,
MERC-25HP-ME25MH4STM-LS,2025-MERCURY-ME-2.5MH-4S-TMC-9,33929,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-115HP-115PROXS-LS,2023-MERCURY-115-PRO-XS-34500,34500,Mercury,115 Pro XS,Marine,Outboards,Mercury,115 Pro XS,
EASY-AL-PTDB2023-LS,2026-EASY-HAULER-AL-PTDB2023-306,54211,Easy Hauler,AL-PTDB2023,Marine,Boat Trailers,Easy Hauler,DRIVE ON BUNK BLACK,
MERC-20HP-ME20MLH4S-LS,2023-MERCURY-ME-20-MLH-4S-59,34055,Mercury,ME 20 MLH 4S,Marine,Outboards,Mercury,ME 20 MLH 4S,
CC-13APA1TEA10-LS,2026-CUB-CADET-13APA1TEA10-13APA1TEA10,57675,Cub Cadet,13APA1TEA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX42,
MERC-25HP-ME25MH4STM-LS,2021-MERCURY-ME-2.5MH-4S-TMC-11,33935,Mercury,ME 2.5MH 4S TMC,Marine,Outboards,Mercury,ME 2.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-8HP-ME8MH4STMC-LS,2022-MERCURY-ME-8MH-4S-TMC-38,34004,Mercury,ME 8MH 4S TMC,Marine,Outboards,Mercury,ME 8MH 4S TMC,
MERC-35HP-ME35MH4STM-LS,2023-MERCURY-ME-3.5MH-4S-TMC-13,33939,Mercury,ME 3.5MH 4S TMC,Marine,Outboards,Mercury,ME 3.5MH 4S TMC,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-20HP-ME20EH4S-LS,2025-MERCURY-ME-20-EH-4S-91,34064,Mercury,ME 20 EH 4S,Marine,Outboards,Mercury,ME 20 EH 4S,
CC-13APA1TEA10-LS,2026-CUB-CADET-13APA1TEA10-13APA1TEA10,57676,Cub Cadet,13APA1TEA10,Power Equipment,Riding Lawn Mowers,Cub Cadet,XT2 LX42,DUPLICATE SKU (first ls_id: 57675)
MERC-60HP-ME60ELHPTC-LS,2025-MERCURY-ME-60-ELHPT-CT-4S-95,34076,Mercury,ME 60 ELHPT CT 4S,Marine,Outboards,Mercury,ME 60 ELHPT CT 4S,
MERC-25HP-ME25ELHPTE-LS,2024-MERCURY-ME-25-ELHPT-EFI-4S-98,34082,Mercury,ME 25 ELHPT EFI 4S,Marine,Outboards,Mercury,ME 25 ELHPT EFI 4S,
MERC-4HP-ME4MH4S-LS,2022-MERCURY-ME-4MH-4S-15,33943,Mercury,ME 4MH 4S,Marine,Outboards,Mercury,ME 4MH 4S,"PRODUCT NAME: Short-shaft portable outboard — consider consumer-friendly tag like ""2.5 HP Outboard"" vs technical ""ME 2.5MH 4S TMC""."
MERC-25HP-ME25ELPTEF-LS,2023-MERCURY-ME-25-ELPT-EFI-4S-100,34088,Mercury,ME 25 ELPT EFI 4S,Marine,Outboards,Mercury,ME 25 ELPT EFI 4S,
MERC-20HP-ME20MLH4S-LS,2022-MERCURY-ME-20-MLH-4S-104,34096,Mercury,ME 20 MLH 4S,Marine,Outboards,Mercury,ME 20 MLH 4S,
MERC-30HP-ME30ELHPTE-LS,2023-MERCURY-ME-30-ELHPT-EFI-4S-106,34098,Mercury,ME 30 ELHPT EFI 4S,Marine,Outboards,Mercury,ME 30 ELHPT EFI 4S,
MERC-30HP-ME30ELPTEF-LS,2022-MERCURY-ME-30-ELPT-EFI-4S-108,34102,Mercury,ME 30 ELPT EFI 4S,Marine,Outboards,Mercury,ME 30 ELPT EFI 4S,
MERC-30HP-ME30ELHPTE-LS,2023-MERCURY-ME-30-ELHPT-EFI-4S-110,34104,Mercury,ME 30 ELHPT EFI 4S,Marine,Outboards,Mercury,ME 30 ELHPT EFI 4S,
