# casey-ask-missing-images-2026-04-23.csv
# 125 send_new_photo (no image on WC) + 20 confirm_or_replace (existing image, dealer-source unverified) = 145 SKUs
sku,brand,product_name,ask_type,notes
2014-MERCURY-50-ELHP,Mercury,2014 Mercury 50 ELHPT 4S EFI,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-2-5M,Mercury,2021 Mercury ME 2.5MH 4S TMC,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-20-E,Mercury,2021 Mercury ME 20 ELHPT 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-5-MH,Mercury,2021 Mercury ME 5 MH LPG 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-EASY-HAULER-AL-,Easy Hauler,2022 Easy Hauler AL-PTDB2026-TRI,send_new_photo,Boat trailers. Source via manufacturer site or Google search.
2022-MERCURY-ME-15-E,Mercury,2022 Mercury ME 15 ELH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-20-M,Mercury,2022 Mercury ME 20 MLH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-30-E,Mercury,2022 Mercury ME 30 ELPT EFI 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-4MH-,Mercury,2022 Mercury ME 4MH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-5-MX,Mercury,2022 Mercury ME 5 MXLHA LPG 4S SAILPOWER,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-60-E,Mercury,2022 Mercury ME 60 ELPT 4S EFI,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-8MH-,Mercury,2022 Mercury ME 8MH 4S TMC,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-9-9E,Mercury,2022 Mercury ME 9.9ELH 4S TMC,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-TORO-74055,Toro,2022 Toro 74055,send_new_photo,"Zero-turns, push mowers. toro.com has structured product image gallery."
2023-CUB-CADET-17AIE,Cub Cadet,2023 Cub Cadet 17AIEACL010,send_new_photo,"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2023-CUB-CADET-17ARG,Cub Cadet,2023 Cub Cadet 17ARGBYEA10,send_new_photo,"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2023-MERCURY-115-PRO,Mercury,2023 Mercury 115 Pro XS,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-60-ELPT,Mercury,2023 Mercury 60 ELPT,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-90-EXLP,Mercury,2023 Mercury 90 EXLPT CT,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-15-E,Mercury,2023 Mercury ME 15 ELHPT PK 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-20-M,Mercury,2023 Mercury ME 20 MLH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-25-E,Mercury,2023 Mercury ME 25 ELPT EFI 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-3-5M,Mercury,2023 Mercury ME 3.5MH 4S TMC,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-30-E,Mercury,2023 Mercury ME 30 ELHPT EFI 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-40-E,Mercury,2023 Mercury ME 40 ELHPT 4S EFI,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-6MH,Mercury,2023 Mercury ME 6MH,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-MERCURY-ME-9-9E,Mercury,2023 Mercury ME 9.9ELH 4S TMC,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2023-PRINCECRAFT-SPO,Princecraft,2023 Princecraft SPORTFISHER 21 2RS,send_new_photo,Boats photographed on water — white-BG hero shots available on princecraft.com. Use product hero crop.
2024-CUB-CADET-17AIE,Cub Cadet,2024 Cub Cadet 17AIEAC2A10,send_new_photo,"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2024-CUB-CADET-17ARG,Cub Cadet,2024 Cub Cadet 17ARGBYLA10,send_new_photo,"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2024-EASY-HAULER-AL-,Easy Hauler,2024 Easy Hauler AL-1610B-YC,send_new_photo,Boat trailers. Source via manufacturer site or Google search.
2024-MERCURY-ME-15-E,Mercury,2024 Mercury ME 15 EH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2024-MERCURY-ME-25-E,Mercury,2024 Mercury ME 25 EH EFI 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2024-MERCURY-ME-4MH-,Mercury,2024 Mercury ME 4MH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2024-MERCURY-ME-50-E,Mercury,2024 Mercury ME 50 ELPT 4S EFI,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2024-MERCURY-ME-60-E,Mercury,2024 Mercury ME 60 ELPT 4S EFI,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2024-MERCURY-ME-6MLH,Mercury,2024 Mercury ME 6MLH,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2024-MERCURY-ME-8EH-,Mercury,2024 Mercury ME 8EH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2024-PRINCECRAFT-RES,Princecraft,2024 Princecraft RESORTER 160 BT,send_new_photo,Boats photographed on water — white-BG hero shots available on princecraft.com. Use product hero crop.
2024-TORO-74532,Toro,2024 Toro 74532,send_new_photo,"Zero-turns, push mowers. toro.com has structured product image gallery."
2024-TORO-74532-2,Toro,2024 Toro 74532,send_new_photo,"Zero-turns, push mowers. toro.com has structured product image gallery."
2024-TRAILER-X,Trailer,2024 Trailer X,send_new_photo,Generic trailer products. Source via Google image search for each model.
2024-TRAILER-X-2,Trailer,2024 Trailer X,send_new_photo,Generic trailer products. Source via Google image search for each model.
2025-CUB-CADET-17ARG,Cub Cadet,2025 Cub Cadet 17ARGBYNA10,send_new_photo,"Riding mowers, zero-turns, accessories. Clean white-BG shots on cubcadet.ca product pages."
2025-EASY-HAULER-125,Easy Hauler,2025 Easy Hauler 1250# PAINTED TRAILER 480 X 12B E-COAT,send_new_photo,Boat trailers. Source via manufacturer site or Google search.
2025-MERCURY-40-ELPT,Mercury,2025 Mercury 40 ELPT,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-75-ELPT,Mercury,2025 Mercury 75 ELPT,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-2-5M,Mercury,2025 Mercury ME 2.5MH 4S TMC,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-20-E,Mercury,2025 Mercury ME 20 EH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-20-M,Mercury,2025 Mercury ME 20 MH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-25-E,Mercury,2025 Mercury ME 25 ELPT EFI 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-50-E,Mercury,2025 Mercury ME 50 ELHPT 4S EFI,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-5MH,Mercury,2025 Mercury ME 5MH,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-5MH-,Mercury,2025 Mercury ME 5MH,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-60-E,Mercury,2025 Mercury ME 60 ELHPT CT 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-6MH,Mercury,2025 Mercury ME 6MH,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-6MH-,Mercury,2025 Mercury ME 6MH,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-MERCURY-ME-9-9M,Mercury,2025 Mercury ME 9.9MH 4S,send_new_photo,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2025-PRINCECRAFT-AMA,Princecraft,2025 Princecraft AMAROK 166 WS,send_new_photo,Boats photographed on water — white-BG hero shots available on princecraft.com. Use product hero crop.
2025-TORO-77502,Toro,2025 Toro 77502,send_new_photo,"Zero-turns, push mowers. toro.com has structured product image gallery."
2025-TORO-77507,Toro,2025 Toro 77507,send_new_photo,"Zero-turns, push mowers. toro.com has structured product image gallery."
2025-TRAILER-X,Trailer,2025 Trailer X,send_new_photo,Generic trailer products. Source via Google image search for each model.
2025-TRAILER-X-2,Trailer,2025 Trailer X,send_new_photo,Generic trailer products. Source via Google image search for each model.
2025-TRAILER-X-3,Trailer,2025 Trailer X,send_new_photo,Generic trailer products. Source via Google image search for each model.
2025-TRAILER-X-4,Trailer,2025 Trailer X,send_new_photo,Generic trailer products. Source via Google image search for each model.
