# product-image-audit-2026-04-23.csv
# Generated per boss dispatch 1776992800688-boss-bx121 (2026-04-23).
# Source: 2026-04-23_product-image-qc.csv (aggregated by SKU).
# Thresholds applied:
#   aspect deviation <5%  -> aspect_1to1_pass=pass, action_needed=none
#   aspect deviation 5-20% -> aspect_1to1_pass=fail, action_needed=designer_qc_edge_case
#   aspect deviation >20% -> aspect_1to1_pass=fail, action_needed=re-crop_to_square
#   no image             -> action_needed=request_from_dealer
# Dealer-verification heuristic: filename prefix match against known OEM codes
#   (MM/HS/EC/CN/HB/MK/CC/TORO/PC/BC). All images are WP-hosted on
#   reyco.glvmarketing.ca; domain alone does not verify dealer source.
# explicit_permission_on_file: default 'no' for all rows (forward-tracking only,
#   no retroactive backfill per boss rule).
sku,current_image_in_WC,current_image_url_or_path,aspect_ratio,aspect_1to1_pass,source_verified_dealer,explicit_permission_on_file,action_needed,image_w,image_h,brand,product_name,notes
2014-MERCURY-50-ELHP,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2014 Mercury 50 ELHPT 4S EFI,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-2-5M,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2021 Mercury ME 2.5MH 4S TMC,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-20-E,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2021 Mercury ME 20 ELHPT 4S,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2021-MERCURY-ME-5-MH,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2021 Mercury ME 5 MH LPG 4S,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-EASY-HAULER-AL-,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Easy Hauler,2022 Easy Hauler AL-PTDB2026-TRI,Boat trailers. Source via manufacturer site or Google search.
2022-MERCURY-ME-15-E,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2022 Mercury ME 15 ELH 4S,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-20-M,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2022 Mercury ME 20 MLH 4S,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-30-E,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2022 Mercury ME 30 ELPT EFI 4S,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-4MH-,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2022 Mercury ME 4MH 4S,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
2022-MERCURY-ME-5-MX,no,,n/a,n/a,n/a,no,request_from_dealer,0,0,Mercury,2022 Mercury ME 5 MXLHA LPG 4S SAILPOWER,Outboards + accessories. Mercury CDN blocks hotlinks; may need download+reupload from mercurymarine.com product pages.
