ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _product_sku,Meta: _product_year,Meta: _product_condition,Meta: _product_stock_status,Meta: _product_specs,Meta: _product_expert_id,Meta: _product_expert_review,Meta: _lightspeed_unit_id,Meta: _product_price,Meta: _product_msrp,Meta: _lightspeed_vin,Meta: _lightspeed_web_title,Meta: _lightspeed_color,Meta: _lightspeed_class,Meta: _lightspeed_unit_type,Meta: _lightspeed_raw_json,Meta: _lightspeed_last_sync,Meta: _lightspeed_unmapped_type,Meta: _product_monthly_payment
207,simple,MK-TER80-26,,Minnkota Terrova 80,1,0,visible,A GPS-enabled trolling motor with spot-lock technology. Set your position and fish hands-free.,"<p>The Minnkota Terrova 80 is the trolling motor serious anglers choose. With 80 lbs of thrust and built-in i-Pilot GPS, you get Spot-Lock anchor technology that holds your boat within 5 feet of a waypoint, even in wind and current.</p>\n<p>The brushless, variable-speed motor runs quieter and more efficiently than conventional trolling motors, and the integrated Bluetooth lets you control everything from your smartphone. AutoPilot maintains a heading so you can focus on fishing, not steering.</p>\n<p>Vertical jigging for walleye, working a weed edge for bass, the Terrova 80 makes you a more effective angler. Stop in to see it mounted on our demo boat.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,,,,,,,,,,0,Minn Kota,MK-TER80-26,2026,new,on_order,"Thrust|80 lbs
Shaft Length|60""
Voltage|24V
Control|i-Pilot GPS / Bluetooth
Spot-Lock|Yes
AutoPilot|Yes
Motor Type|Brushless",1,Once you fish with Spot-Lock you'll never go back. The Terrova 80 is the most-requested trolling motor upgrade we do. Pairs perfectly with any of our Princecraft fishing boats.,,,,,,,,,,,,
244,simple,MK-ULT80-45-26,,"Minn Kota Ultrex 80 lb — 45"" Shaft",1,0,visible,"Freshwater bow-mount trolling motor. 80 lb thrust, tournament precision.","<p>The Ultrex 80/45 is the most-sold freshwater trolling motor at Reyco. Tournament-grade cable steering, Spot-Lock, auto-deploy, and the 45"" shaft that fits most mid-size fishing boats on the St. Marys River and Lake Superior bays.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_Ultrex_QUEST_HeroAlt.webp,,,,,,,,,0,Minn Kota,MK-ULT80-45-26,2026,new,on_order,"Thrust|80 lb
Shaft|45""
Control|Cable Steer
Features|Spot-Lock, Auto-Deploy
Warranty|Minn Kota Manufacturer",1,Ultrex 80/45 is our most-installed freshwater trolling motor. Reliable precision at a price point that makes sense for serious anglers.,,,,,,,,,,,,
245,simple,MK-ULT80-52-26,,"Minn Kota Ultrex 80 lb — 52"" Shaft",1,0,visible,"Same 80 lb tournament Ultrex, longer 52-inch shaft.","<p>The 52"" shaft variant of the Ultrex 80 — for larger hulls or anglers who prefer more transducer clearance. Same tournament-grade cable steering and Spot-Lock.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_Ultrex_QUEST_HeroAlt-1.webp,,,,,,,,,0,Minn Kota,MK-ULT80-52-26,2026,new,on_order,"Thrust|80 lb
Shaft|52""
Control|Cable Steer
Features|Spot-Lock, Auto-Deploy
Warranty|Minn Kota Manufacturer",1,52-inch shaft for deeper-transom or taller-freeboard boats. Same Ultrex precision.,,,,,,,,,,,,
246,simple,MK-ULTQUEST9115-45-26,,Minn Kota Ultrex QUEST 90/115 lb — Dual Spectrum CHIRP,1,0,visible,Flagship freshwater trolling motor with built-in CHIRP sonar.,"<p>Ultrex QUEST 90/115 is the tournament-grade flagship. Variable 90 or 115 lb thrust, 45"" shaft, Dual Spectrum CHIRP sonar built directly into the motor, Micro Remote for wireless control. For anglers running serious tournament setups.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_Ultrex_QUEST_HeroAlt-2.webp,,,,,,,,,0,Minn Kota,MK-ULTQUEST9115-45-26,2026,order,on_order,"Thrust|90/115 lb variable
Shaft|45""
Sonar|Dual Spectrum CHIRP
Control|Micro Remote wireless
Warranty|Minn Kota Manufacturer",1,Ultrex QUEST is where tournament-serious anglers land. Variable thrust plus built-in CHIRP is a game changer.,,,,,,,,,,,,
247,simple,MK-RTQUEST9115-72-26,,"Minn Kota Riptide Terrova QUEST 90/115 — 72""",1,0,visible,"Saltwater/coastal QUEST with 72"" shaft.","<p>Saltwater-rated QUEST Terrova with 72"" shaft. Variable thrust (90/115 lb), wireless remote, built for coastal and heavy-freshwater applications.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_RiptideTerrova_QUEST_HeroAlt-1.webp,,,,,,,,,0,Minn Kota,MK-RTQUEST9115-72-26,2026,order,on_order,"Thrust|90/115 lb variable
Shaft|72""
Rating|Saltwater
Control|Wireless Remote
Warranty|Minn Kota Manufacturer",1,"Saltwater QUEST is for Great Lakes anglers who trailer to coastal trips, or freshwater heavy-boat setups wanting saltwater durability.",,,,,,,,,,,,
248,simple,MK-RTQUEST9115-87-26,,"Minn Kota Riptide Terrova QUEST 90/115 — 87""",1,0,visible,"Saltwater QUEST with 87"" shaft for larger hulls.","<p>87"" shaft variant of the saltwater Riptide Terrova QUEST. For larger hulls or transom-high applications. Same variable thrust and wireless control.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/MK_RiptideTerrova_QUEST_HeroAlt-3.webp,,,,,,,,,0,Minn Kota,MK-RTQUEST9115-87-26,2026,order,on_order,"Thrust|90/115 lb variable
Shaft|87""
Rating|Saltwater
Warranty|Minn Kota Manufacturer",1,87-inch shaft for big-boat saltwater and heavy-freshwater cruising applications.,,,,,,,,,,,,
