ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _product_sku,Meta: _product_year,Meta: _product_condition,Meta: _product_stock_status,Meta: _product_specs,Meta: _product_expert_id,Meta: _product_expert_review,Meta: _lightspeed_unit_id,Meta: _product_price,Meta: _product_msrp,Meta: _lightspeed_vin,Meta: _lightspeed_web_title,Meta: _lightspeed_color,Meta: _lightspeed_class,Meta: _lightspeed_unit_type,Meta: _lightspeed_raw_json,Meta: _lightspeed_last_sync,Meta: _lightspeed_unmapped_type,Meta: _product_monthly_payment
224,simple,EC-CS590-26,,Echo CS-590 Timber Wolf Chainsaw,1,0,visible,"The firewood cutter's chainsaw. 59.8cc pro-grade, 20"" bar, legendary reliability.","<p>The CS-590 Timber Wolf is the chainsaw that cuts most of the firewood in Northern Ontario. It earned that reputation — 59.8cc of pro-grade engine, a 20"" bar that handles full-size hardwood, and the durability that comes from Echo's professional-duty engineering. Ask any firewood cutter from the Sault to Wawa what saw they run; the answer is almost always this one.</p>\n<p>Anti-vibration handle reduces fatigue on long cutting days. Automatic oiler keeps the chain lubricated. Decompression valve makes starting easier — especially on cold mornings when you need to get to work. The kind of details Echo engineers get right.</p>\n<p>We stock CS-590 chains, bars, filters, and wear parts on the shelf. When your Timber Wolf needs service, we handle it here at the shop. Most-sold chainsaw at Reyco.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS590-26.jpg,,,,,,,,,0,Echo,EC-CS590-26,2026,new,on_order,"Engine|59.8cc 2-Stroke
Bar Length|20""
Weight|13.2 lbs (powerhead)
Anti-Vibration|Yes
Warranty|5-Year Consumer / 2-Year Commercial",1,"CS-590 Timber Wolf has probably cut more firewood across Algoma than every other saw combined. When pro customers ask what they should run, this is the first answer. Reliable, powerful, and the parts are everywhere.",,,,,,,,,,,,
225,simple,EC-CS310-26,,Echo CS-310 Chainsaw,1,0,visible,"Homeowner entry chainsaw. 30.5cc, 14"" bar, reliable light-duty saw.","<p>The Echo CS-310 is the homeowner chainsaw we point budget-conscious customers at. 30.5cc engine and 14"" bar handle light firewood, storm cleanup, and occasional brush work. Not meant for production firewood cutting, but solid for the weekend property owner doing 2-3 cords a year.</p>\n<p>Lightweight, easy-start carb, automatic oiler. Proven Echo reliability at entry pricing. Casey would recommend this over cheaper off-brand saws every time.</p>\n<p>Full parts availability and in-house service. Chains, bars, air filters all stocked.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS310-26.jpg,,,,,,,,,0,Echo,EC-CS310-26,2026,new,on_order,"Engine|30.5cc 2-Stroke
Bar Length|14""
Weight|8.8 lbs (powerhead)
Warranty|5-Year Consumer",1,"CS-310 is the right saw for someone cutting 2-3 cords a year or doing occasional storm cleanup. Not a firewood production saw, but reliable for the homeowner use case at an honest price.",,,,,,,,,,,,
226,simple,EC-CS352-26,,Echo CS-352 Chainsaw,1,0,visible,"Mid-homeowner chainsaw. 34.4cc, 16"" bar, good all-around value.","<p>The CS-352 steps up from the CS-310 — 34.4cc engine and a 16"" bar for slightly heavier work. Right saw for the property owner doing 4-6 cords of firewood a year, clearing storm damage, or maintaining trails. The best value in Echo's mid-homeowner lineup.</p>\n<p>Easy-start carb, automatic chain oiler, anti-vibration handle. Holds up under regular seasonal use.</p>\n<p>Reyco stocks parts and handles service in-house. Common upgrade from customers who started with the CS-310 and found they needed more saw.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS352-26.jpg,,,,,,,,,0,Echo,EC-CS352-26,2026,new,on_order,"Engine|34.4cc 2-Stroke
