ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _product_sku,Meta: _product_year,Meta: _product_condition,Meta: _product_stock_status,Meta: _product_specs,Meta: _product_expert_id,Meta: _product_expert_review,Meta: _lightspeed_unit_id,Meta: _product_price,Meta: _product_msrp,Meta: _lightspeed_vin,Meta: _lightspeed_web_title,Meta: _lightspeed_color,Meta: _lightspeed_class,Meta: _lightspeed_unit_type,Meta: _lightspeed_raw_json,Meta: _lightspeed_last_sync,Meta: _lightspeed_unmapped_type,Meta: _product_monthly_payment,Reyco Category Slug
224,simple,EC-CS590-26,,Echo CS-590 20-inch Chainsaw,1,0,visible,"Echo CS-590 20-inch Chainsaw — 20-inch bar — built for the customer who runs the saw, not just owns it. Authorised Echo dealer service from Damian in the service department.","<p>The Echo CS-590 20-inch Chainsaw is the chainsaw we sell to the rural property holder clearing windfall every spring. It's the saw Aaron recommends when somebody walks in tired of replacing a box-store saw every two seasons.</p>
<p>Echo's professional-grade saws are over-built for homeowner use, which is why they end up in the shed for fifteen years instead of three. That over-engineering shows up on cold mornings — the Echo CS-590 20-inch Chainsaw starts cleanly when the box-store saws are still being yanked on. Northern Ontario winters are hard on small engines, and Echo's tolerance for cold-start abuse is one of the things the customer who's tired of the box-store saw lasting two seasons comes back for. Aaron sees these on the bench in October when everybody realises at the same time that wood's getting cut and they need a saw — get yours in before the rush.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. Most chainsaws don't get serviced when they should — bring yours in for a chain sharpening once a season and Damian will look it over while it's on the bench. Air filter, fuel filter, spark plug, bar oil — all wear items, all stocked at the parts counter.</p>
<p>For the customer who's tired of the box-store saw lasting two seasons, the Echo CS-590 20-inch Chainsaw pays for itself across two seasons of cuts versus a cheaper saw that needs replacing. Stop by the showroom at 11 White Oak Drive East to see it on the floor, or call 705-253-7828 if you'd rather talk through whether it's the right fit.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS590-26.jpg,,,,,,,,,0,Echo,EC-CS590-26,2026,new,on_order,"Make|Echo
Model|CS-590
Year|2026
Type|Chainsaw
Class|Chainsaw",4,"The Echo CS-590 20-inch Chainsaw is the saw I see in the back of every serious firewood guy's truck around the Sault — and from the service side, that's because I'm sharpening chains for them, not pulling apart engines. Echo doesn't market hard and that's fine; the saws sell themselves and I've never had to apologise for the recommendation. — Aaron, Service Manager",,,,,,,,,,,,,chainsaws
225,simple,EC-CS310-26,,Echo CS-310 14-inch Chainsaw,1,0,visible,"Echo CS-310 14-inch Chainsaw — 14-inch bar — built for the customer who runs the saw, not just owns it. Authorised Echo dealer service from Damian in the service department.","<p>The Echo CS-310 14-inch Chainsaw is the chainsaw we sell to the cottage owner clearing the access road every May. It's the saw Aaron recommends when somebody walks in tired of replacing a box-store saw every two seasons.</p>
<p>Echo's professional-grade saws are over-built for homeowner use, which is why they end up in the shed for fifteen years instead of three. That over-engineering shows up on cold mornings — the Echo CS-310 14-inch Chainsaw starts cleanly when the box-store saws are still being yanked on. Northern Ontario winters are hard on small engines, and Echo's tolerance for cold-start abuse is one of the things the part-time arborist working weekend storm cleanup comes back for. Aaron sees these on the bench in October when everybody realises at the same time that wood's getting cut and they need a saw — get yours in before the rush.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. Most chainsaws don't get serviced when they should — bring yours in for a chain sharpening once a season and Damian will look it over while it's on the bench. Air filter, fuel filter, spark plug, bar oil — all wear items, all stocked at the parts counter.</p>
<p>For the part-time arborist working weekend storm cleanup, the Echo CS-310 14-inch Chainsaw pays for itself across two seasons of cuts versus a cheaper saw that needs replacing. Drop in at 11 White Oak Drive East to see it on the floor. Lynn manages the parts counter and Ron can pull most wear items same-day. Aaron's read on a saw at this tier is straightforward: store it indoors, run the right mix, sharpen the chain when it stops throwing chips, and it'll outlive the truck you bought it in.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS310-26.jpg,,,,,,,,,0,Echo,EC-CS310-26,2026,new,on_order,"Make|Echo
Model|CS-310
Year|2026
Type|Chainsaw
Class|Chainsaw",4,"Echo's pro-grade line earned its reputation in the Sault by being the saws that come back for sharpenings, not warranty work. The Echo CS-310 14-inch Chainsaw sits squarely in that group. I service enough of these to know which ones hold up — this one does. For the homeowner who burns wood for shoulder-season heat, the price difference versus a box-store saw pays for itself across two seasons of cuts. — Aaron, Co-Owner & Service Manager",,,,,,,,,,,,,chainsaws
226,simple,EC-CS352-26,,Echo CS-352 16-inch Chainsaw,1,0,visible,"Echo CS-352 16-inch Chainsaw — 16-inch bar — built for the customer who runs the saw, not just owns it. Authorised Echo dealer service from Damian in the service department.","<p>The Echo CS-352 16-inch Chainsaw is the chainsaw we sell to the customer who's tired of the box-store saw lasting two seasons. It's the saw Aaron recommends when somebody walks in tired of replacing a box-store saw every two seasons.</p>
<p>Echo's professional-grade saws are over-built for homeowner use, which is why they end up in the shed for fifteen years instead of three. That over-engineering shows up on cold mornings — the Echo CS-352 16-inch Chainsaw starts cleanly when the box-store saws are still being yanked on. Northern Ontario winters are hard on small engines, and Echo's tolerance for cold-start abuse is one of the things the contractor who keeps a saw in every truck comes back for. Aaron sees these on the bench in October when everybody realises at the same time that wood's getting cut and they need a saw — get yours in before the rush.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. Most chainsaws don't get serviced when they should — bring yours in for a chain sharpening once a season and Damian will look it over while it's on the bench. Air filter, fuel filter, spark plug, bar oil — all wear items, all stocked at the parts counter.</p>
<p>For the contractor who keeps a saw in every truck, the Echo CS-352 16-inch Chainsaw pays for itself across two seasons of cuts versus a cheaper saw that needs replacing. If you've got questions about fit, call 705-253-7828. If you want to see the unit, we're at 11 White Oak Drive East in Sault Ste. Marie.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS352-26.jpg,,,,,,,,,0,Echo,EC-CS352-26,2026,new,on_order,"Make|Echo
Model|CS-352
Year|2026
Type|Chainsaw
Class|Chainsaw",4,"The Echo CS-352 16-inch Chainsaw is the saw I see in the back of every serious firewood guy's truck around the Sault — and from the service side, that's because I'm sharpening chains for them, not pulling apart engines. Echo doesn't market hard and that's fine; the saws sell themselves and I've never had to apologise for the recommendation. — Aaron, Service Manager",,,,,,,,,,,,,chainsaws
227,simple,EC-CS680-26,,Echo CS-680 24-inch Chainsaw,1,0,visible,"Echo CS-680 24-inch Chainsaw — 24-inch bar — built for the customer who runs the saw, not just owns it. Authorised Echo dealer service from Damian in the service department.","<p>The Echo CS-680 24-inch Chainsaw is the chainsaw we sell to the firewood cutter stocking up before October. It's the saw Aaron recommends when somebody walks in tired of replacing a box-store saw every two seasons.</p>
<p>Echo's professional-grade saws are over-built for homeowner use, which is why they end up in the shed for fifteen years instead of three. That over-engineering shows up on cold mornings — the Echo CS-680 24-inch Chainsaw starts cleanly when the box-store saws are still being yanked on. Northern Ontario winters are hard on small engines, and Echo's tolerance for cold-start abuse is one of the things the customer who's tired of the box-store saw lasting two seasons comes back for. Aaron sees these on the bench in October when everybody realises at the same time that wood's getting cut and they need a saw — get yours in before the rush.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. Most chainsaws don't get serviced when they should — bring yours in for a chain sharpening once a season and Damian will look it over while it's on the bench. Air filter, fuel filter, spark plug, bar oil — all wear items, all stocked at the parts counter.</p>
<p>For the customer who's tired of the box-store saw lasting two seasons, the Echo CS-680 24-inch Chainsaw pays for itself across two seasons of cuts versus a cheaper saw that needs replacing. If you've got questions about fit, call 705-253-7828. If you want to see the unit, we're at 11 White Oak Drive East in Sault Ste. Marie.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-CS680-26.jpg,,,,,,,,,0,Echo,EC-CS680-26,2026,new,on_order,"Make|Echo
Model|CS-680
Year|2026
Type|Chainsaw
Class|Chainsaw",4,"As Service Manager, my honest read on the Echo CS-680 24-inch Chainsaw is this: I see them on the bench in October for chain sharpenings and routine tune-ups, not for engine work. That's the spread you want from a saw you're putting through real firewood. For the rural property holder clearing windfall every spring across Northern Ontario, this saw is the recommendation I give when somebody walks into the showroom asking. — Aaron, Service Manager",,,,,,,,,,,,,chainsaws
228,simple,EC-PB580T-26,,Echo PB-580T Backpack Blower,1,0,visible,Echo PB-580T Backpack Blower — Echo's answer for October leaf cleanup across a real Northern Ontario lot. Authorised dealer service from Damian at Reyco.,"<p>Echo's Echo PB-580T Backpack Blower is a tool you wear, not just hold — and the retiree who handles his own yard end-to-end feels the difference after the first hour. It's also one of the more reliable cold-start blowers in the line, which matters across the mixed cottage-and-rural lawns we get up here.</p>
<p>Backpack ergonomics matter more than spec sheets. The Echo PB-580T Backpack Blower is built so you can run it for the full leaf job without feeling it the next day. Echo's blowers run on a 50:1 mix and tolerate the cold-start abuse that Northern Ontario mornings throw at them. Air volume (CFM) does the work; air speed (MPH) gets the leaves moving — the Echo PB-580T Backpack Blower is balanced for both, which is why it shows up on so many landscaping trucks across the mixed cottage-and-rural lawns we get up here.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. Routine service on a blower is mostly air filter, spark plug, and an annual carb tune — Lynn and Ron keep the wear parts at the counter, Damian handles the carb work in-shop. We see these come back on schedule, not on warranty calls. Bring it in at the end of October once leaf season's wrapped and we'll get it set for spring.</p>
<p>For the year-round property caretaker, the Echo PB-580T Backpack Blower is the blower size that fits the property without overshooting. Echo's blower line is one of the few where the spec sheet matches the real-world performance — and Aaron will steer you to the right size for your lot rather than the bigger unit. Reyco's been on White Oak Drive East for more than 60 years. Stop by, talk to a tech, see the unit on the floor.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-PB580T-26.jpg,,,,,,,,,0,Echo,EC-PB580T-26,2026,new,on_order,"Make|Echo
Model|PB-580T
Year|2026
Type|Backpack Blower
Class|Backpack Blower",4,"I see what comes back through the service department, and the Echo PB-580T Backpack Blower comes back on schedule for tune-ups, not warranty work. Echo blowers start cold on October mornings — which sounds basic until you've owned one that doesn't. For the retiree who handles his own yard end-to-end across the cottage roads east of town, this is the platform I'd point you to. — Aaron, Co-Owner & Service Manager",,,,,,,,,,,,,backpack-blowers
229,simple,EC-PB9010T-26,,Echo PB-9010T Backpack Blower,1,0,visible,Echo PB-9010T Backpack Blower — Echo's answer for October leaf cleanup across a real Northern Ontario lot. Authorised dealer service from Damian at Reyco.,"<p>For the property covered in maple leaves by mid-October, the Echo PB-9010T Backpack Blower is the right size. Echo built this one for the cottage owner cleaning up before the long weekend rush — the customer who's running it for an hour or more at a stretch, not just five minutes on a driveway.</p>
<p>Backpack ergonomics matter more than spec sheets. The Echo PB-9010T Backpack Blower is built so you can run it for the full leaf job without feeling it the next day. Echo's blowers run on a 50:1 mix and tolerate the cold-start abuse that Northern Ontario mornings throw at them. Air volume (CFM) does the work; air speed (MPH) gets the leaves moving — the Echo PB-9010T Backpack Blower is balanced for both, which is why it shows up on so many landscaping trucks across the cottage country lots.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. Routine service on a blower is mostly air filter, spark plug, and an annual carb tune — Lynn and Ron keep the wear parts at the counter, Damian handles the carb work in-shop. We see these come back on schedule, not on warranty calls. Bring it in at the end of October once leaf season's wrapped and we'll get it set for spring.</p>
<p>For the retiree who handles his own yard end-to-end, the Echo PB-9010T Backpack Blower is the blower size that fits the property without overshooting. Echo's blower line is one of the few where the spec sheet matches the real-world performance — and Aaron will steer you to the right size for your lot rather than the bigger unit. Drop in at 11 White Oak Drive East to see it on the floor. Lynn manages the parts counter and Ron can pull most wear items same-day.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-PB9010T-26.jpg,,,,,,,,,0,Echo,EC-PB9010T-26,2026,new,on_order,"Make|Echo
Model|PB-9010T
Year|2026
Type|Backpack Blower
Class|Backpack Blower",4,"As Service Manager, the read I give on Echo blowers is straightforward: the Echo PB-9010T Backpack Blower comes back to the bench for routine air filter work, not engine drama. That's the spread you want before October. For the retiree who handles his own yard end-to-end, this is the size I'd recommend — anything smaller and you'll regret it, anything bigger and you're carrying weight for no reason. — Aaron, Service Manager",,,,,,,,,,,,,backpack-blowers
230,simple,EC-PB755ST-26,,Echo PB-755ST Backpack Blower,1,0,visible,Echo PB-755ST Backpack Blower — Echo's answer for October leaf cleanup across a real Northern Ontario lot. Authorised dealer service from Damian at Reyco.,"<p>Backpack blowers earn their keep in fall — the Echo PB-755ST Backpack Blower is the one Aaron grabs when the cottage owner cleaning up before the long weekend rush asks 'which one.' Once you wear one for an hour, you don't go back to a handheld.</p>
<p>Backpack ergonomics matter more than spec sheets. The Echo PB-755ST Backpack Blower is built so you can run it for the full leaf job without feeling it the next day. Echo's blowers run on a 50:1 mix and tolerate the cold-start abuse that Northern Ontario mornings throw at them. Air volume (CFM) does the work; air speed (MPH) gets the leaves moving — the Echo PB-755ST Backpack Blower is balanced for both, which is why it shows up on so many landscaping trucks across the Sault.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. Routine service on a blower is mostly air filter, spark plug, and an annual carb tune — Lynn and Ron keep the wear parts at the counter, Damian handles the carb work in-shop. We see these come back on schedule, not on warranty calls. Bring it in at the end of October once leaf season's wrapped and we'll get it set for spring.</p>
<p>For the year-round property caretaker, the Echo PB-755ST Backpack Blower is the blower size that fits the property without overshooting. Echo's blower line is one of the few where the spec sheet matches the real-world performance — and Aaron will steer you to the right size for your lot rather than the bigger unit. Stop by the showroom at 11 White Oak Drive East to see it on the floor, or call 705-253-7828 if you'd rather talk through whether it's the right fit.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-PB755ST-26.jpg,,,,,,,,,0,Echo,EC-PB755ST-26,2026,new,on_order,"Make|Echo
Model|PB-755ST
Year|2026
Type|Backpack Blower
Class|Backpack Blower",4,"Of all the blowers we sell, the Echo PB-755ST Backpack Blower is one I'd run on my own property — and from the service side, that's the honest read. The fall is hard on small engines and Echo handles it better than most. Drop in and try the harness on if it's a backpack. — Aaron, Service Manager",,,,,,,,,,,,,backpack-blowers
231,simple,EC-SRM225-26,,Echo SRM-225 String Trimmer,1,0,visible,"Echo SRM-225 String Trimmer — built to last past one season. Authorised Echo dealer service at Reyco, parts stocked at the counter.","<p>The Echo SRM-225 String Trimmer is Echo's answer to the trimmer that lasts past one summer. For the customer with a half-acre lot and tidy hedge instinct, the upgrade from a box-store trimmer is immediate — easier starts, more consistent power, and a head that doesn't bind every twenty minutes.</p>
<p>Straight-shaft trimmers reach further and last longer than curved-shaft. The bump-feed head Echo ships with this one is the head 90% of customers actually use — no upselling on attachments you don't need. For the customer running a trimmer for an hour or more at a stretch, the balance matters more than the spec sheet. The handle position is dialled in for cutting along fences and gardens without the tip wandering.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. Trimmer wear parts — line, head, fuel filter, spark plug — all live at the parts counter, same-day pickup if you walk in. We'll re-spool the line for you while you wait if you don't want to fight the head. Damian also tunes the carb if the trimmer's been sitting all winter and won't take an idle.</p>
<p>For the homeowner running the trimmer for an hour at a stretch, the Echo SRM-225 String Trimmer earns its keep across the season. The price difference between this and a discount-store trimmer pays for itself by the second August — and Aaron's seen enough of the discount stuff come back broken to know which side of that math is real. Call 705-253-7828 or stop in at 11 White Oak Drive East — Aaron or Damian will walk you through what fits your property.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-SRM225-26.jpg,,,,,,,,,0,Echo,EC-SRM225-26,2026,new,on_order,"Make|Echo
Model|SRM-225
Year|2026
Type|String Trimmer
Class|String Trimmer",4,"As Service Manager I get a clear read on which trimmers hold up — the Echo SRM-225 String Trimmer is one of them. The conversation is always the same: straight shaft or curved, gas or cordless. For the cottager who does his own edges every Saturday who's tired of cheap trimmers that quit halfway through the season, this is the upgrade I'd recommend. Drop in and feel the balance — it matters over an hour of trimming. — Aaron, Service Manager",,,,,,,,,,,,,string-trimmers
232,simple,EC-HC2020-26,,Echo HC-2020 Hedge Trimmer,1,0,visible,"Echo HC-2020 Hedge Trimmer — built to handle a real cedar hedge, not just decorative shrubs. Authorised Echo dealer at White Oak Drive.","<p>For the homeowner with overgrown shrubs and a Saturday to spend with overgrowth that's gotten ahead of them, the Echo HC-2020 Hedge Trimmer is the catch-up tool. Echo built this one with the blade length and engine match that real hedge work demands — and Aaron will tell you straight whether it's the right size for your hedge or whether you'd want the longer-blade unit.</p>
<p>Hedge trimmer geometry is everything — blade length, weight balance, where the engine sits. The Echo HC-2020 Hedge Trimmer is dialled in for the customer who's actually trimming hedges, not just buying a tool. Cedar hedges are common across the rural lots north of the city, and they grow fast — the right blade length and engine match for that work matters. Double-sided blades, where Echo runs them, cut on both passes — half the time, half the back strain.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. We keep blades and consumables at the counter, and Damian sharpens hedge trimmer blades in-shop on the bench — drop the unit off and we'll turn it around quick. Most homeowners don't sharpen hedge trimmer blades and lose half their cutting capacity for it; once a season is the right cadence to bring it in.</p>
<p>For the landscaper trimming hedges all season with cedar or boxwood hedges to keep tidy, the Echo HC-2020 Hedge Trimmer is the right tool — sized right for a real-world hedge, not a decorative shrub. Call 705-253-7828 to talk it through, or visit the showroom at 11 White Oak Drive East. We'll make sure the unit fits the lot before you leave the lot.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-HC2020-26.jpg,,,,,,,,,0,Echo,EC-HC2020-26,2026,new,on_order,"Make|Echo
Model|HC-2020
Year|2026
Type|Hedge Trimmer
Class|Hedge Trimmer",4,"I service a lot of hedge trimmers, and the Echo HC-2020 Hedge Trimmer is one I'd buy myself. The blade length and weight balance are dialled in for the cottager who lets the hedge go a year and pays for it the next. — Aaron, Service Manager",,,,,,,,,,,,,hedge-trimmers
233,simple,EC-DCS5000-26,,Echo DCS-5000 18-inch Cordless Chainsaw,1,0,visible,"Echo DCS-5000 18-inch Cordless Chainsaw — 18-inch bar — built for the customer who runs the saw, not just owns it. Authorised Echo dealer service from Damian in the service department.","<p>If you're tired of the pull cord and the gas can, the Echo DCS-5000 18-inch Cordless Chainsaw is Echo's 56V answer. It runs on the same battery platform as the rest of Echo's cordless line — chainsaw, trimmer, blower, mower — so once you've bought one battery, the next tool is just the bare unit.</p>
<p>Cordless equipment trades range for quiet. For the suburban lot across the Sault where the neighbours appreciate not hearing a two-stroke at 8 a.m., that's a feature. The 56V platform is one of the few cordless ecosystems where the runtime actually matches the marketing — Aaron's run these long enough to know which platforms hold up and which don't. Echo's batteries hold charge through winter storage better than most competitors, which matters in a Northern Ontario garage.</p>
<p>Reyco is an authorised Echo dealer — warranty work, chain sharpening, parts, and routine service all run through our shop. Damian in the service department (small engines, lawn, snow, Echo) has been on these tools for years; Ron at the parts counter has the Echo-line consumables sorted before you finish asking. That includes the 56V cordless line — battery service, warranty, and platform support all come through Reyco. We're not just selling boxes; we're standing behind the platform years past the sale. From the service side, the cordless tools come back for tool service, not battery warranty drama, which is the read you want before committing to a battery platform.</p>
<p>For the buyer building out an Echo 56V kit one tool at a time, the Echo DCS-5000 18-inch Cordless Chainsaw is the upgrade path away from gas. Once you've got one Echo 56V battery, the next tool in the kit is just the bare unit — and that's where the platform pays off. Reyco's been on White Oak Drive East for more than 60 years. Stop by, talk to a tech, see the unit on the floor.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/EC-DCS5000-26.jpg,,,,,,,,,0,Echo,EC-DCS5000-26,2026,new,on_order,"Make|Echo
Model|DCS-5000
Year|2026
Type|Cordless Chainsaw
Class|Cordless Chainsaw",4,"Running the service department, I get the honest read on which Echo saws hold up across the half-acre lots in town — the Echo DCS-5000 18-inch Cordless Chainsaw is one of them. For the cottage owner clearing the access road every May, this saw starts cold, holds tune, and doesn't burn through chains. Drop in and we'll show it to you on the floor. — Aaron, Service Manager",,,,,,,,,,,,,cordless-chainsaws
