ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Meta: _product_sku,Meta: _product_year,Meta: _product_condition,Meta: _product_stock_status,Meta: _product_specs,Meta: _product_expert_id,Meta: _product_expert_review,Meta: _lightspeed_unit_id,Meta: _product_price,Meta: _product_msrp,Meta: _lightspeed_vin,Meta: _lightspeed_web_title,Meta: _lightspeed_color,Meta: _lightspeed_class,Meta: _lightspeed_unit_type,Meta: _lightspeed_raw_json,Meta: _lightspeed_last_sync,Meta: _lightspeed_unmapped_type,Meta: _product_monthly_payment
214,simple,HS-STRK250R-26,,Hisun Strike 250R — Youth Sport UTV,1,0,visible,"Youth/entry sport UTV. Two-seat, governed for teen riders, four factory colour options.","<p>The Hisun Strike 250R is the sport UTV we point families at when they want a two-seat trail machine sized for a teen rider and a passenger. Governed speed and manageable power make it a legitimate teaching machine — a step up from a single-rider ATV into proper side-by-side trail skills.</p>\n<p>Available in four factory finishes (Black Ops, Destroyer Grey, Tactical Tan, Voodoo Blue). Sport suspension, real ground clearance, and full Hisun dealer support through Reyco. Warranty service and parts handled right here in Sault Ste. Marie.</p>\n<p>Most common use case: Algoma families with teens starting on OFATV trails under adult supervision. Pre-order deposits accepted; ask us about current stock and ordering lead times.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_stike250blue-110557.png,,,,,,,,,0,Hisun,HS-STRK250R-26,2026,new,on_order,"Engine|249cc Single-Cylinder
Seating|2
Drive|2WD/4WD Select
Transmission|CVT with H/L/N/R/P
Colours|Black Ops, Destroyer Grey, Tactical Tan, Voodoo Blue
Warranty|Hisun Manufacturer",1,The Strike 250R is the youth sport UTV I actually recommend. Governed power means kids learn right instead of getting over their head. Parents ride along and teach. Nothing else in this price band does it better.,,,,,,,,,,,,
215,simple,HS-STRK550R-26,,Hisun Strike 550R — Adult Sport UTV,1,0,visible,"Full-size two-seat sport UTV. 550cc, long-travel suspension, four factory colours.","<p>The Strike 550R is Hisun's full-size adult sport machine. 550cc power, long-travel suspension, and the ground clearance to handle Northern Ontario trail terrain without bottoming out. This is where Hisun competes directly with bigger-name sport UTVs — similar capability at a price point that makes more sense for most buyers.</p>\n<p>Available in Black Ops, Destroyer Grey, Tactical Tan, and Voodoo Blue. Real sport suspension, aggressive stance, and the Outlaw Ride Day lifestyle photography shows the machine in proper trail conditions.</p>\n<p>Reyco handles sales, delivery, warranty service, and parts. Financing through our standard <a href=""/financing/apply/"">application process</a> — bundle with accessories (winch, plow, windshield) into one monthly payment.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_strike550blue-110937.png,,,,,,,,,0,Hisun,HS-STRK550R-26,2026,new,on_order,"Engine|546cc Single-Cylinder
Seating|2
Drive|2WD/4WD Select
Transmission|CVT with H/L/N/R/P
Colours|Black Ops, Destroyer Grey, Tactical Tan, Voodoo Blue
Warranty|Hisun Manufacturer",1,"Strike 550R punches above its price tag. For customers who want a sport UTV without paying flagship money, it's the machine I point them at. Suspension is legit — holds up on rough trail work without losing composure.",,,,,,,,,,,,
216,simple,HS-SEC550EPS-26,,Hisun Sector 550 EPS — Utility UTV,1,0,visible,"Mid-tier utility with electric power steering. Five factory colours, real work capability.","<p>The Sector 550 EPS is the sweet-spot Hisun utility for most Algoma property owners. 550cc power with electric power steering that makes all-day work days dramatically easier on the driver — plowing, loading, maneuvering, trail work. For customers who use the UTV for actual labour, EPS is worth every dollar.</p>\n<p>Five factory colours available (Avocado Green, Camo, Destroyer Grey, HISUN Red, Tactical Tan). Rack capacity and towing sized for real property work. Accepts winches, plow blades, and accessory upgrades we install at the shop.</p>\n<p>This is the UTV Casey recommends to most people buying their first utility side-by-side. Reliable, priced right, and serviced under the same roof as your boats and lawn equipment.</p>",,,taxable,,backorder,,,0,0,,,,,0,,,,,,,http://reyco.glvmarketing.ca/wp-content/uploads/2026/04/800_sector550red-102158.png,,,,,,,,,0,Hisun,HS-SEC550EPS-26,2026,new,on_order,"Engine|546cc Single-Cylinder
Seating|2
Power Steering|Electric (EPS)
Drive|2WD/4WD Select with Differential Lock
Colours|Avocado Green, Camo, Destroyer Grey, HISUN Red, Tactical Tan
Warranty|Hisun Manufacturer",1,"Sector 550 EPS covers 80% of people's utility use cases. Power steering makes the difference on real work days — it's not a luxury item, it's a productivity item. Most-recommended utility UTV we sell.",,,,,,,,,,,,
