url,slug,title,pattern_type,inferred_taxonomy,url_base,seo_potential,notes
https://reyco.glvmarketing.ca/reyco-category/ace-nv/,ace-nv,ACE NV,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/apex-series/,apex-series,APEX Series,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/cub-cadet-challenger-750-mx/,cub-cadet-challenger-750-mx,Cub Cadet Challenger 750 MX,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/cub-cadet-utv/,cub-cadet-utv,Cub Cadet UTV,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/easi-troll/,easi-troll,Easi-Troll,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/forge-400i/,forge-400i,Forge 400i,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/guardian/,guardian,GUARDIAN,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/helix-series/,helix-series,HELIX Series,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/hs-series/,hs-series,HS Series,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/hydro-extreme/,hydro-extreme,Hydro Extreme,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/ice-xplore/,ice-xplore,ICE XPLORE,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/kayak-terrova/,kayak-terrova,Kayak Terrova,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/lake-troll/,lake-troll,Lake-Troll,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/lux-floating/,lux-floating,LUX Floating,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/magnum/,magnum,Magnum,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/mini-troll/,mini-troll,Mini-Troll,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/mp9-series/,mp9-series,MP9 Series,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/optimum/,optimum,Optimum,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/riptide-kayak-terrova/,riptide-kayak-terrova,Riptide Kayak Terrova,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/riptide-terrova-quest/,riptide-terrova-quest,Riptide Terrova QUEST,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/riptide-terrova-quest-100/,riptide-terrova-quest-100,Riptide Terrova QUEST 100,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/riptide-terrova-quest-72/,riptide-terrova-quest-72,Riptide Terrova QUEST 72,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/riptide-terrova-quest-87/,riptide-terrova-quest-87,Riptide Terrova QUEST 87,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/riptide-terrova-refurbished/,riptide-terrova-refurbished,Riptide Terrova Refurbished,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/sector-series/,sector-series,Sector Series,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/strike-series/,strike-series,Strike Series,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/stryker-series/,stryker-series,Stryker Series,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/tactic/,tactic,Tactic,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/timber-wolf/,timber-wolf,Timber Wolf,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/u-handle/,u-handle,U-Handle,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/ultrex-quest/,ultrex-quest,Ultrex QUEST,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/uni-troll/,uni-troll,Uni-Troll,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/wave-armor/,wave-armor,Wave Armor,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/wave-armour-ports/,wave-armour-ports,Wave Armour Ports,model-series,brand-model-series,reyco-category,medium,
https://reyco.glvmarketing.ca/reyco-category/wavex/,wavex,WaveX,model-series,brand-model-series,reyco-category,medium,
