severity,brand,slug,name,effective_title,reyco_meta_title,rank_math_desc,primary_alt,img_count,issues
P1,Cannon,cannon-downrigger-weight-10-lb-cannon-ball,Cannon 10 lb Downrigger Cannonball Weight,Downrigger Weight | Cannon | Reyco Marine,Downrigger Weight | Cannon | Reyco Marine,,,0,META_DESC_MISSING; NO_IMAGES
P1,Cannon,cannon-downrigger-weight-4-lb-cannon-ball,Cannon 4 lb Downrigger Cannonball Weight,Downrigger Weight | Cannon | Reyco Marine,Downrigger Weight | Cannon | Reyco Marine,,,0,META_DESC_MISSING; NO_IMAGES
P1,Cannon,cannon-downrigger-weight-6-lb-cannon-ball,Cannon 6 lb Downrigger Cannonball Weight,Downrigger Weight | Cannon | Reyco Marine,Downrigger Weight | Cannon | Reyco Marine,,,0,META_DESC_MISSING; NO_IMAGES
P1,Cannon,cannon-downrigger-weight-8-lb-cannon-ball,Cannon 8 lb Downrigger Cannonball Weight,Downrigger Weight | Cannon | Reyco Marine,Downrigger Weight | Cannon | Reyco Marine,,,0,META_DESC_MISSING; NO_IMAGES
P1,Cannon,cannon-easi-troll,Cannon Easi-Troll Downrigger,Easi-Troll | Cannon | Reyco Marine,Easi-Troll | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-lake-troll,Cannon Lake-Troll Downrigger,Lake-Troll | Cannon | Reyco Marine,Lake-Troll | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-magnum-10,Cannon Magnum 10 Downrigger,Magnum 10 | Cannon | Reyco Marine,Magnum 10 | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-magnum-10-ts,Cannon Magnum 10 TS Downrigger,Magnum 10 TS | Cannon | Reyco Marine,Magnum 10 TS | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-magnum-5,Cannon Magnum 5 Downrigger,Magnum 5 | Cannon | Reyco Marine,Magnum 5 | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-mini-troll,Cannon Mini-Troll Downrigger,Mini-Troll | Cannon | Reyco Marine,Mini-Troll | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-optimum-downrigger,Cannon Optimum Downrigger,Optimum Downrigger | Cannon | Reyco Marine,Optimum Downrigger | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-optimum-ts-downrigger,Cannon Optimum TS Downrigger,Optimum TS Downrigger | Cannon | Reyco Marine,Optimum TS Downrigger | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-uni-stacker-release,Cannon Uni-Stacker Downrigger Release,Uni-Stacker Release | Cannon | Reyco Marine,Uni-Stacker Release | Cannon | Reyco Marine,,,0,META_DESC_MISSING; NO_IMAGES
P1,Cannon,cannon-uni-troll-10,Cannon Uni-Troll 10 Downrigger,Uni-Troll 10 | Cannon | Reyco Marine,Uni-Troll 10 | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-uni-troll-10-ts,Cannon Uni-Troll 10 TS Downrigger,Uni-Troll 10 TS | Cannon | Reyco Marine,Uni-Troll 10 TS | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cannon,cannon-uni-troll-5,Cannon Uni-Troll 5 Downrigger,Uni-Troll 5 | Cannon | Reyco Marine,Uni-Troll 5 | Cannon | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
P1,Cub Cadet,2023-cub-cadet-17aieacl010,2023 Cub Cadet 17AIEACL010 Zero-Turn Mower,ZT2 42 Zero Turn | Cub Cadet | Reyco Marine,ZT2 42 Zero Turn | Cub Cadet | Reyco Marine,,,1,META_DESC_MISSING; ALT_EMPTY
