Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
acorn tiny homes;1;260;0.68;0.79;26.70;https://acorntinyhomes.com/
acorn tiny home;1;170;0.68;0.79;17.45;https://acorntinyhomes.com/
acorn tiny house;1;140;0.68;0.79;14.37;https://acorntinyhomes.com/
acorn tiny houses;1;50;0.68;0.79;5.13;https://acorntinyhomes.com/
tiny homes for sale in pa;9;880;0.39;1.00;2.43;https://acorntinyhomes.com/
tiny homes for sale in pennsylvania;9;590;0.39;1.00;1.79;https://acorntinyhomes.com/
tiny house builders in pa;1;210;0.63;0.45;1.66;https://acorntinyhomes.com/
tiny homes for sale philadelphia;4;210;0.49;1.00;1.66;https://acorntinyhomes.com/tiny-homes/
tiny home builders in pa;1;210;0.63;0.45;1.66;https://acorntinyhomes.com/
tiny home lancaster pa;5;260;0.45;0.84;1.41;https://acorntinyhomes.com/
tiny homes in pa;6;480;0.48;0.71;1.41;https://acorntinyhomes.com/
tiny homes lancaster pa;6;260;0.45;0.84;0.77;https://acorntinyhomes.com/
adu near me;6;1000;4.21;0.37;0.64;https://acorntinyhomes.com/accessory-dwelling-units-adus/
adu builders lancaster;1;50;0.00;0.00;0.51;https://acorntinyhomes.com/accessory-dwelling-units-adus/
tiny house lancaster pa;7;260;0.45;0.84;0.51;https://acorntinyhomes.com/
