Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
atomic homes;1;40;0.58;0.04;50.79;https://atomictinyhomes.com/
atomic tiny homes;1;30;0.58;0.50;38.09;https://atomictinyhomes.com/
atomic rv sales;2;50;0.00;0.00;9.52;https://atomictinyhomes.com/
atomic houses;5;50;0.00;0.01;1.58;https://atomictinyhomes.com/
tiny houses in pa;38;260;0.48;0.71;0.00;https://atomictinyhomes.com/
tiny home lancaster pa;51;260;0.45;0.84;0.00;https://atomictinyhomes.com/
tiny home manufacturer;36;210;0.62;0.75;0.00;https://atomictinyhomes.com/
tiny home manufacturer;52;210;0.62;0.75;0.00;https://atomictinyhomes.com/
modular homes on wheels;48;70;0.80;0.99;0.00;https://atomictinyhomes.com/
tiny estates lancaster pa;60;110;0.85;0.24;0.00;https://atomictinyhomes.com/
tiny house builders in pennsylvania;19;30;0.63;0.45;0.00;https://atomictinyhomes.com/
tiny houses for sale pennsylvania;38;140;0.39;1.00;0.00;https://atomictinyhomes.com/
tiny estates elizabethtown pa;55;210;0.83;0.19;0.00;https://atomictinyhomes.com/
tiny house community pennsylvania;49;30;0.60;0.13;0.00;https://atomictinyhomes.com/
tiny house community pennsylvania;58;30;0.60;0.13;0.00;https://atomictinyhomes.com/
