Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
mint tiny homes;1;590;0.55;0.75;14.06;https://www.minttinyhouse.com/
mint tiny house;1;480;0.55;0.75;11.43;https://www.minttinyhouse.com/
tiny house mint;1;480;0.55;0.75;11.43;https://www.minttinyhouse.com/
tiny house;3;3600;0.40;0.88;8.78;https://www.minttinyhouse.com/
mint tiny house company;1;320;0.41;0.62;7.62;https://www.minttinyhouse.com/
mint tiny home;1;260;0.55;0.75;6.19;https://www.minttinyhouse.com/
tiny house canada;4;1600;0.32;1.00;3.09;https://www.minttinyhouse.com/
tiny homes for sale;6;2400;0.35;1.00;2.50;https://www.minttinyhouse.com/
tiny houses for sale;2;590;0.36;1.00;2.29;https://www.minttinyhouse.com/
tiny homes canada;6;1600;0.32;1.00;1.66;https://www.minttinyhouse.com/
tiny house for sale bc canada;4;720;0.31;1.00;1.37;https://www.minttinyhouse.com/
tiny house for sale;3;720;0.36;0.99;1.37;https://www.minttinyhouse.com/
tiny homes for sale bc;6;1300;0.31;1.00;1.34;https://www.minttinyhouse.com/
tiny home for sale;4;1000;0.35;0.99;1.31;https://www.minttinyhouse.com/
tiny house for sale bc;5;1000;0.31;1.00;1.31;https://www.minttinyhouse.com/
tiny homes for sale british columbia;5;880;0.31;1.00;1.13;https://www.minttinyhouse.com/
tiny home canada;3;390;0.32;1.00;0.92;https://www.minttinyhouse.com/
tiny house tiny;5;1300;0.40;0.88;0.92;https://www.minttinyhouse.com/
mini homes for sale;10;1600;0.41;0.97;0.89;https://www.minttinyhouse.com/
mini home;6;880;0.38;0.91;0.77;https://www.minttinyhouse.com/
