Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
mint tiny house;1;480;0.63;0.39;22.65;https://www.minttinyhouse.com/
mint tiny homes;1;480;0.63;0.39;22.65;https://www.minttinyhouse.com/
mint tiny house company;1;320;0.43;0.36;15.10;https://www.minttinyhouse.com/
mint tiny home;1;260;0.63;0.39;12.27;https://www.minttinyhouse.com/
tiny house sofa;1;390;0.40;1.00;5.66;https://www.minttinyhouse.com/your-ultimate-tiny-house-couch-shopping-guide/
tiny house company;3;590;0.71;0.66;2.83;https://www.minttinyhouse.com/
mint homes;5;320;2.82;0.20;0.82;https://www.minttinyhouse.com/
tiny house bedroom main floor;2;70;0.35;0.88;0.53;https://www.minttinyhouse.com/need-a-tiny-house-with-a-downstairs-bedroom/
tiny house couch;5;260;0.41;1.00;0.53;https://www.minttinyhouse.com/your-ultimate-tiny-house-couch-shopping-guide/
tiny homes for sale canada;4;110;0.57;0.52;0.41;https://www.minttinyhouse.com/inventory/
tiny homes canada;6;210;0.38;0.63;0.41;https://www.minttinyhouse.com/
tiny homes for seniors;4;480;1.15;1.00;0.35;https://www.minttinyhouse.com/tiny-homes-groundbreaking-affordable-housing-for-seniors-with-serious-style/
tiny houses for sale north vancouver bc;1;50;0.00;0.00;0.35;https://www.minttinyhouse.com/inventory/
tiny houses for seniors;6;390;1.15;1.00;0.29;https://www.minttinyhouse.com/tiny-homes-groundbreaking-affordable-housing-for-seniors-with-serious-style/
tiny house bedroom;5;260;0.24;0.52;0.29;https://www.minttinyhouse.com/need-a-tiny-house-with-a-downstairs-bedroom/
