Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
rewild homes;1;110;0.43;0.03;11.98;https://www.rewildhomes.com/
tiny house bc;2;480;0.44;0.88;8.58;https://www.rewildhomes.com/
tiny homes for sale british columbia;4;880;0.31;1.00;7.76;https://www.rewildhomes.com/
tiny house for sale bc;8;1000;0.31;1.00;3.26;https://www.rewildhomes.com/
small house off grid;1;90;0.25;0.92;2.99;https://www.rewildhomes.com/full-custom-homes
off grid tiny home;1;90;0.25;0.92;2.99;https://www.rewildhomes.com/full-custom-homes
tiny homes for sale vancouver island;1;90;0.26;0.71;2.99;https://www.rewildhomes.com/
tiny home lots for sale;1;90;0.69;0.20;2.99;https://www.rewildhomes.com/land
tiny homes victoria;1;70;0.42;0.92;2.31;https://www.rewildhomes.com/
tiny home for sale vancouver island;1;70;0.26;0.71;2.31;https://www.rewildhomes.com/
tiny homes bc;5;720;0.44;0.88;2.31;https://www.rewildhomes.com/
tiny home land for sale;1;70;0.70;0.20;2.31;https://www.rewildhomes.com/land
tiny house british columbia;3;210;0.44;0.88;2.31;https://www.rewildhomes.com/
vancouver island tiny homes for sale;2;110;0.26;0.71;1.90;https://www.rewildhomes.com/
tiny house vancouver bc;2;110;0.53;0.97;1.90;https://www.rewildhomes.com/
nelson bc tiny homes;2;110;0.56;0.63;1.90;https://www.rewildhomes.com/listings-blog/2022/1/31/fully-serviced-tiny-home-pads-15-minutes-from-nelson-bc
tiny homes for sale in bc;4;210;0.32;1.00;1.77;https://www.rewildhomes.com/
tiny home communities bc;2;140;0.58;0.18;1.49;https://www.rewildhomes.com/tiny-home-villages-and-campgrounds
tiny homes british columbia;3;320;0.44;0.88;1.49;https://www.rewildhomes.com/
tiny house community british columbia;2;140;0.58;0.18;1.49;https://www.rewildhomes.com/tiny-home-villages-and-campgrounds
