Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
summit tiny homes;1;390;0.34;0.87;55.02;https://www.summittinyhomes.com/
tiny house small;6;1300;0.35;0.58;4.93;https://www.summittinyhomes.com/
home tiny house;8;1600;0.39;0.97;3.52;https://www.summittinyhomes.com/
tiny modular homes;2;140;0.39;1.00;3.17;https://www.summittinyhomes.com/
tiny home wood;1;480;0.34;0.09;2.82;https://www.summittinyhomes.com/
bc tiny homes;2;90;0.44;0.88;1.94;https://www.summittinyhomes.com/
tiny homes kelowna;2;110;0.61;0.33;1.58;https://www.summittinyhomes.com/
tiny homes in canada for sale;7;390;0.33;1.00;1.41;https://www.summittinyhomes.com/
luxury tiny homes;2;170;0.37;0.87;1.23;https://www.summittinyhomes.com/
tiny homes for sale bc;15;1300;0.31;1.00;1.05;https://www.summittinyhomes.com/
contemporary tiny house;2;140;0.36;0.52;0.70;https://www.summittinyhomes.com/
mobile tiny;4;210;3.70;0.06;0.70;https://www.summittinyhomes.com/
prefab mini homes;7;140;0.42;1.00;0.70;https://www.summittinyhomes.com/
tiny homes canada;15;1600;0.32;1.00;0.70;https://www.summittinyhomes.com/
luxury tiny house;3;140;0.37;0.87;0.70;https://www.summittinyhomes.com/
