Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
tiny house canada bc;3;590;0.44;0.88;10.25;https://www.sunshinetinyhomes.com/
tiny homes canada;7;1600;0.32;1.00;10.25;https://www.sunshinetinyhomes.com/
sunshine tiny homes;1;50;0.56;0.37;8.54;https://www.sunshinetinyhomes.com/
tiny homes for sale bc;8;1300;0.31;1.00;6.62;https://www.sunshinetinyhomes.com/
tiny house for sale bc;10;1000;0.31;1.00;4.70;https://www.sunshinetinyhomes.com/
tiny house for sale bc canada;7;720;0.31;1.00;4.48;https://www.sunshinetinyhomes.com/
tiny homes for sale british columbia;8;880;0.31;1.00;4.48;https://www.sunshinetinyhomes.com/
tiny homes bc;7;720;0.44;0.88;3.20;https://www.sunshinetinyhomes.com/
tiny homes bc canada;3;140;0.40;0.95;2.35;https://www.sunshinetinyhomes.com/
tiny house bc canada;5;390;0.44;0.88;1.92;https://www.sunshinetinyhomes.com/
tiny house for sale bc;12;1000;0.31;1.00;1.92;https://www.sunshinetinyhomes.com/
tiny homes for sale canada;10;390;0.33;1.00;1.70;https://www.sunshinetinyhomes.com/
tiny homes british columbia;5;320;0.44;0.88;1.49;https://www.sunshinetinyhomes.com/
tiny home british columbia;5;210;0.44;0.88;1.28;https://www.sunshinetinyhomes.com/
tiny house british columbia;6;210;0.44;0.88;1.06;https://www.sunshinetinyhomes.com/
