Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
tiny homes for sale;2;90500;0.44;1.00;6.98;https://tumbleweedhouses.com/
tiny house;1;40500;0.43;1.00;6.34;https://tumbleweedhouses.com/
tumbleweed tiny homes;1;2900;0.28;0.63;2.75;https://tumbleweedhouses.com/
small house;1;12100;0.65;0.65;1.89;https://tumbleweedhouses.com/
tumbleweed tiny house company;1;1600;0.80;0.34;1.52;https://tumbleweedhouses.com/
tiny tumbleweed homes;1;1000;0.28;0.63;0.95;https://tumbleweedhouses.com/
tiny houses for sale;2;12100;0.41;1.00;0.93;https://tumbleweedhouses.com/
tiny house on wheels;1;5400;0.41;0.85;0.84;https://tumbleweedhouses.com/
tumbleweed tiny home company;1;880;0.28;0.63;0.83;https://tumbleweedhouses.com/
tiny house for sale;4;22200;0.41;1.00;0.79;https://tumbleweedhouses.com/tiny-homes-for-sale/
small houses;1;8100;0.65;0.65;0.78;https://tumbleweedhouses.com/
prebuilt tiny homes;1;2400;0.38;1.00;0.70;https://tumbleweedhouses.com/
tiny homes on wheels for sale;1;4400;0.49;1.00;0.68;https://tumbleweedhouses.com/
tiny home on wheels;1;4400;0.40;0.94;0.68;https://tumbleweedhouses.com/
tiny housw;1;4400;0.43;1.00;0.68;https://tumbleweedhouses.com/
