Keyword;Position;Search Volume;CPC;Competition;Traffic (%);Url
zook cabins;1;14800;0.46;0.39;9.55;https://www.zookcabins.com/
tiny homes for sale;4;90500;0.44;1.00;2.19;https://www.zookcabins.com/service-areas/georgia/tiny-homes-for-sale-in-ga/atlanta
tiny homes;3;74000;0.44;1.00;2.09;https://www.zookcabins.com/service-areas/california/tiny-homes-for-sale-in-ca
prefab cabins;1;6600;0.48;1.00;1.32;https://www.zookcabins.com/
cabin log cabins;2;22200;0.74;0.52;1.16;https://www.zookcabins.com/log-cabins
zook cabin;1;1300;0.46;0.39;0.83;https://www.zookcabins.com/
zooks cabins;1;880;0.46;0.39;0.56;https://www.zookcabins.com/
prefab log cabins;1;2400;0.49;1.00;0.48;https://www.zookcabins.com/log-cabins
farmhouse modular homes;1;2400;0.50;1.00;0.48;https://www.zookcabins.com/cabin/homestead-modern-farmhouse
modular log cabins;1;2400;0.52;1.00;0.48;https://www.zookcabins.com/log-cabins
prefabricated cabins;1;2400;0.48;1.00;0.48;https://www.zookcabins.com/
modular cabins;1;2400;0.52;1.00;0.48;https://www.zookcabins.com/
small prefab cabins;1;720;0.38;1.00;0.46;https://www.zookcabins.com/
cabin;4;60500;0.46;0.22;0.43;https://www.zookcabins.com/cabin
granny pods;2;27100;0.24;1.00;0.41;https://www.zookcabins.com/blog/granny-pods
